Investors,Primary Contact,Description,Geography,Preferred Industry,Preferred Investment Type,Primary Investor Type,geography_tags,preferred_investment_type_tags,preferred_industry_tags
CPP Investments,Kristina Fanjoy,"Canada Pension Plan Investment Board (CPPIB) is a professional investment management organization that invests the funds not needed by the Canada Pension Plan (CPP) to pay current benefits on behalf of 18 million Canadian contributors and beneficiaries. In order to build a diversified portfolio of CPP assets, CPPIB invests in public equities, private equities, real estate, infrastructure and fixed income instruments. Headquartered in Toronto, with offices in Hong Kong, London, New York City and São Paulo, CPPIB is governed and managed independently of the Canada Pension Plan and at arm's length from governments. ","North America, Northeast, Northwest, South, Southeast, Southwest, West Coast, Western Europe","Commercial Services, Software",0,Limited Partner,"['north america' 'northeast' 'northwest' 'south' 'southeast' 'southwest'
 'west coast' 'western europe']",['0'],['commercial services' 'software']
Right Side Capital Management,Jeff Pomeranz,"Founded in 21, Right Side Capital Management is a venture capital firm based in San Francisco, California. The firm prefers to invest in the technology sector with a focus on the United States and Canada. The firm also occasionally invests in Western Europe, Israel, Australia, and New Zealand. This firm is a Registered Investment Adviser (RIA). ","Australia, Canada, Israel, New Zealand, United States, Western Europe","IT Services, Software","Early Stage VC, Seed Round",Venture Capital,"['australia' 'canada' 'israel' 'new zealand' 'united states'
 'western europe']",['early stage vc' 'seed round'],['it services' 'software']
Global Brain,Jiro Kumakura,"Founded in 1998, Global Brain is a venture capital firm based in Tokyo, Japan. The firm also offers Venture Capital as a Service (VCaaS) solutions The firm specializes in seed, early, and later-stage investments. The firm seeks to invest in companies operating in the e-commerce, software, game, media, IoT, disruptive technology, education, entertainment, and fintech sectors. ","Asia, Europe, Middle East, North America, Oceania","Commercial Services, Communications and Networking, Other Information Technology, Services (Non-Financial), Software","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['asia' 'europe' 'middle east' 'north america' 'oceania'],['early stage vc' 'later stage vc' 'seed round'],"['commercial services' 'communications and networking'
 'other information technology' 'services (non-financial)' 'software']"
Precursor Ventures,Charles Hudson,"Founded in 215, Precursor Ventures is a venture capital firm based in San Francisco, California. The firm prefers to invest in early-stage finance, technology, B2B, and B2C companies across the United States, Canada, and Mexico. ","Canada, Mexico, United States","Computer Hardware, Education and Training Services (B2B), Educational and Training Services (B2C), Financial Services, Media, Media and Information Services (B2B), Other Business Products and Services, Other Commercial Services, Retail, Software","Early Stage VC, Seed Round",Venture Capital,['canada' 'mexico' 'united states'],['early stage vc' 'seed round'],"['computer hardware' 'education and training services (b2b)'
 'educational and training services (b2c)' 'financial services' 'media'
 'media and information services (b2b)'
 'other business products and services' 'other commercial services'
 'retail' 'software']"
Elevate Ventures,Patrick Sweeney,"Founded in 211, Elevate Ventures is a venture capital investment firm based in Indianapolis, Indiana. The firm prefers to invest in in cross-sector innovation-driven companies with a minimum $5M Total Addressable Market (TAM) at Pre-Seed, Seed, and Series A stages who are headquartered or have a significant presence in the state of Indiana. The firm focuses on companies operating in the software, life sciences, and hardtech and products sectors. This firm is a Registered Investment Adviser (RIA). ",Indiana,"Agriculture, Commercial Products, Healthcare Devices and Supplies, Infrastructure, Other Business Products and Services, Other Consumer Products and Services, Other Healthcare, Pharmaceuticals and Biotechnology, Software","Early Stage VC, Seed Round",Venture Capital,['indiana'],['early stage vc' 'seed round'],"['agriculture' 'commercial products' 'healthcare devices and supplies'
 'infrastructure' 'other business products and services'
 'other consumer products and services' 'other healthcare'
 'pharmaceuticals and biotechnology' 'software']"
BGF (Financial Services),James Davis,"Founded in 211, BGF is a private equity investment firm based in London, United Kingdom. The firm seeks to invest in companies operating in advanced tech, artificial intelligence &amp; data, technology, climate &amp; sustainability, healthcare, life sciences, retail &amp; e-commerce, media, infrastructure, construction &amp; property, business services, automotive &amp; aerospace, specialist manufacturing, food &amp; drink, education, energy &amp; resources, waste management, leisure &amp; hospitality sectors. ","Ireland, United Kingdom","Aerospace and Defense, Beverages, Buildings and Property, Chemicals and Gases, Construction (Non-Wood), Education and Training Services (B2B), Energy, Food Products, Healthcare, Information Technology, Media, Restaurants, Hotels and Leisure, Retail","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Growth/Expansion,['ireland' 'united kingdom'],"['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'seed round']","['aerospace and defense' 'beverages' 'buildings and property'
 'chemicals and gases' 'construction (non-wood)'
 'education and training services (b2b)' 'energy' 'food products'
 'healthcare' 'information technology' 'media' 'restaurants'
 'hotels and leisure' 'retail']"
HarbourVest Partners,Karin Lagerlund,"Founded in 1982, HarbourVest Partners is an asset management firm based in Boston, Massachusetts. The firm operates in multiple asset classes like custom solutions, direct co-investments, emerging and diverse, infrastructure and real assets, primary investments, private credit, secondary investments and open-ended private market solutions. The firm prefers to invest in companies operating in business products, business services, consumer products, consumer services, information technology, healthcare, financial services, materials, resources, SaaS, manufacturing, e-commerce, industrials, and machinery, 3D printing, payments, processing, and technology-based sectors across the United States, Europe, America, Asia, Africa, the Middle East, and Oceania. The firm also prefers to invest in infrastructure and real assets. This firm is a Registered Investment Adviser (RIA). ","Africa, Americas, Asia, Europe, Middle East, Oceania, United States","Apparel and Accessories, Capital Markets/Institutions, Chemicals and Gases, Commercial Banks, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, Containers and Packaging, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Insurance, IT Services, Media, Other Consumer Products and Services, Other Financial Services, Pharmaceuticals and Biotechnology, Retail, Semiconductors, Software","Add-on, Buyout/LBO, Debt - General, Early Stage VC, Later Stage VC, Management Buyout, Mezzanine, PE Growth/Expansion",Asset Manager,"['africa' 'americas' 'asia' 'europe' 'middle east' 'oceania'
 'united states']","['add-on' 'buyout/lbo' 'debt - general' 'early stage vc' 'later stage vc'
 'management buyout' 'mezzanine' 'pe growth/expansion']","['apparel and accessories' 'capital markets/institutions'
 'chemicals and gases' 'commercial banks' 'commercial products'
 'commercial services' 'commercial transportation'
 'communications and networking' 'computer hardware' 'consumer durables'
 'consumer non-durables' 'containers and packaging'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'insurance' 'it services' 'media'
 'other consumer products and services' 'other financial services'
 'pharmaceuticals and biotechnology' 'retail' 'semiconductors' 'software']"
Intermediate Capital Group (LON: ICG),Justin M. McDougall,"Founded in 1988, Intermediate Capital Group is a private equity investment firm based in London, United Kingdom. ",,Building Products,"Buyout/LBO, Early Stage VC, GP Stakes, Later Stage VC, Mezzanine, PE Growth/Expansion, Seed Round",PE/Buyout,[''],"['buyout/lbo' 'early stage vc' 'gp stakes' 'later stage vc' 'mezzanine'
 'pe growth/expansion' 'seed round']",['building products']
Forum Ventures,Michael Cardamone,"Founded in 214, Forum Ventures is a venture capital investment firm based in New York, New York. The firm is the leading early-stage fund, accelerator, and venture studio for B2B SaaS startups. The firm is a team of B2B SaaS experts, operators, and ex-founders with a passion for helping founders succeed on their journeys, especially those who are traditionally underrepresented. The firm supports founders with our extensive community of B2B SaaS founders, enterprise leaders, and zero-to-one advisors along with the team's expertise that spans GTM and sales, marketing, product, and fundraising. The firm has three investment strategies an AI Venture Studio that invests $25k and builds AI-first companies from scratch alongside founders, an accelerator that invests $1k in B2B SaaS businesses and accelerates growth to meaningful traction and their subsequent fundraiser, and a pre-seed fund that invests between $25k and $1M in companies ready to scale and provides more hands-on help than any other pre-seed stage fund. ",United States,"Business Products and Services (B2B), Other Information Technology, Software","Accelerator/Incubator, Early Stage VC, Seed Round",Venture Capital,['united states'],['accelerator/incubator' 'early stage vc' 'seed round'],"['business products and services (b2b)' 'other information technology'
 'software']"
GV,Karim Faris,"Founded in 29, GV is a corporate venture capital firm of Alphabet based in San Francisco, California. The firm invests across the enterprise, life sciences, consumer, crypto, climate, and frontier technology sectors. ",,"Apparel and Accessories, Business/Productivity Software, Consumer Durables, Database Software, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Internet Software, Media, Network Management Software, Other Consumer Products and Services, Other Healthcare, Other Information Technology, Other Software, Pharmaceuticals and Biotechnology, Services (Non-Financial), Transportation","Early Stage VC, Later Stage VC, Seed Round",Corporate Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],"['apparel and accessories' 'business/productivity software'
 'consumer durables' 'database software' 'healthcare devices and supplies'
 'healthcare services' 'healthcare technology systems' 'internet software'
 'media' 'network management software'
 'other consumer products and services' 'other healthcare'
 'other information technology' 'other software'
 'pharmaceuticals and biotechnology' 'services (non-financial)'
 'transportation']"
IndieBio,Parikshit Sharma,"Founded in 214, IndieBio is an accelerator firm based in San Francisco, California. The firm seeks to invest in seed-stage and early-stage companies. The firm prefers to invest in business products, business services, consumer products, consumer services, materials, resources, energy, healthcare, life sciences, 3D printing, advanced manufacturing, big data, cannabis, impact investing, industrials, infrastructure, and technology-based sectors in the United States. ",United States,"Apparel and Accessories, Business Products and Services (B2B), Consumer Durables, Consumer Non-Durables, Energy Services, Exploration, Production and Refining, Healthcare Devices and Supplies, Materials and Resources, Other Consumer Products and Services, Other Energy, Pharmaceuticals and Biotechnology, Services (Non-Financial), Transportation, Utilities","Accelerator/Incubator, Early Stage VC, Seed Round",Accelerator/Incubator,['united states'],['accelerator/incubator' 'early stage vc' 'seed round'],"['apparel and accessories' 'business products and services (b2b)'
 'consumer durables' 'consumer non-durables' 'energy services'
 'exploration' 'production and refining' 'healthcare devices and supplies'
 'materials and resources' 'other consumer products and services'
 'other energy' 'pharmaceuticals and biotechnology'
 'services (non-financial)' 'transportation' 'utilities']"
Lightyear Capital,Courtney M. Sullivan,"Founded in 2, Lightyear Capital is a private equity firm based in New York, New York. The firm seeks to invest in companies operating in financial services, financial technology, healthcare, and technology-enabled business services. This firm is a Registered Investment Adviser (RIA). ",United States,"Commercial Banks, Healthcare Technology Systems, Insurance, IT Services, Other Business Products and Services, Other Financial Services, Other Healthcare Services, Other Information Technology, Software","Add-on, Buyout/LBO, PE Growth/Expansion",PE/Buyout,['united states'],['add-on' 'buyout/lbo' 'pe growth/expansion'],"['commercial banks' 'healthcare technology systems' 'insurance'
 'it services' 'other business products and services'
 'other financial services' 'other healthcare services'
 'other information technology' 'software']"
Outlier Ventures,Aron Van Ammers,"Founded in 213, Outlier Ventures is an accelerator based in London, United Kingdom. The firm seeks to invest in web3 companies operating in gaming, defi, infrastructure, services, and middleware sectors across Saudi Arabia, the United Arab Emirates, Florida, and California. ","Africa, Americas, Asia, California, Canada, Europe, Florida, Saudi Arabia, United Arab Emirates","Accounting, Audit and Tax Services (B2C), Beverages, Business Products and Services (B2B), Communications and Networking, Financial Services, Food Products, Healthcare Technology Systems, IT Services, Legal Services (B2C), Software","Accelerator/Incubator, Early Stage VC, Seed Round",Accelerator/Incubator,"['africa' 'americas' 'asia' 'california' 'canada' 'europe' 'florida'
 'saudi arabia' 'united arab emirates']",['accelerator/incubator' 'early stage vc' 'seed round'],"['accounting' 'audit and tax services (b2c)' 'beverages'
 'business products and services (b2b)' 'communications and networking'
 'financial services' 'food products' 'healthcare technology systems'
 'it services' 'legal services (b2c)' 'software']"
Digital Consensus Fund,Nebras Annous,"Founded in 222, Digital Consensus Fund is a venture capital firm based in Dubai, United Arab Emirates. The firm seeks to invest in the web3 and crypto currency sectors. ",,"Financial Services, IT Services","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],['financial services' 'it services']
MH Ventures,Kamran Iqbal,"Founded in 221, MH Ventures is a venture capital firm based in London, England. The firm is an early-stage, founder-focused fund driving the growth of Web3 by investing in visionary entrepreneurs and providing comprehensive support for their success. ","Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Business Products and Services (B2B), Consumer Products and Services (B2C), Energy, Financial Services, Materials and Resources, Software","Angel (individual), Early Stage VC, Later Stage VC, Seed Round",Venture Capital,"['africa' 'americas' 'asia' 'canada' 'europe' 'middle east' 'oceania'
 'united states']",['angel (individual)' 'early stage vc' 'later stage vc' 'seed round'],"['business products and services (b2b)'
 'consumer products and services (b2c)' 'energy' 'financial services'
 'materials and resources' 'software']"
Abu Dhabi Investment Authority,Brian Tipple,"The Abu Dhabi Investment Authority is a sovereign wealth fund owned by the Emirate of Abu Dhabi founded for the purpose of investing funds on behalf of the Government of the Emirate of Abu Dhabi. The firm manages a global investment portfolio that is diversified across more than two dozen asset classes and sub-categories. The investment areas include quoted equities, indexed funds, internal equities, external equities, fixed income and treasury, alternative investments, real estate, and infrastructure, and private equities. ","Asia, Europe, Middle East, North America","Buildings and Property, Government, Real Estate Services (B2C)","Buyout/LBO, GP Stakes, PE Growth/Expansion",Sovereign Wealth Fund,['asia' 'europe' 'middle east' 'north america'],['buyout/lbo' 'gp stakes' 'pe growth/expansion'],['buildings and property' 'government' 'real estate services (b2c)']
Charlesbank Capital Partners,Maura M. Turner,"Founded in 1998, Charlesbank Capital Partners is a private equity firm based in Boston, Massachusetts. The firm seeks to invest in B2B, B2C, media, retail, non-financial services, transportation, financial service, healthcare, information technology, manufacturing, life science, industrial, cloud technology, cybersecurity, e-commerce, infrastructure &amp; SaaS sectors based in the United States, Canada, Asia, Israel &amp; United Kingdom regions. This firm is a Registered Investment Adviser (RIA). ","Asia, Canada, Israel, United Kingdom, United States","Apparel and Accessories, Commercial Products, Commercial Services, Consumer Durables, Consumer Non-Durables, Financial Services, Healthcare, Information Technology, Media, Other Consumer Products and Services, Restaurants, Hotels and Leisure, Retail, Services (Non-Financial), Transportation","Buyout/LBO, Carveout, Corporate Divestiture, Debt Refinancing, Dividend Recapitalization, Junior Debt, Management Buyout, Merger/Acquisition, PE Growth/Expansion, PIPE, Recapitalization, Secured Debt, Senior Debt",PE/Buyout,['asia' 'canada' 'israel' 'united kingdom' 'united states'],"['buyout/lbo' 'carveout' 'corporate divestiture' 'debt refinancing'
 'dividend recapitalization' 'junior debt' 'management buyout'
 'merger/acquisition' 'pe growth/expansion' 'pipe' 'recapitalization'
 'secured debt' 'senior debt']","['apparel and accessories' 'commercial products' 'commercial services'
 'consumer durables' 'consumer non-durables' 'financial services'
 'healthcare' 'information technology' 'media'
 'other consumer products and services' 'restaurants' 'hotels and leisure'
 'retail' 'services (non-financial)' 'transportation']"
SMBC Venture Capital,0,"Founded in 25, SMBC Venture Capital is a corporate venture capital arm of Sumitomo Mitsui Banking based in Tokyo, Japan. The firm prefers to invest in companies operating in the information technology, life sciences, services, and manufacturing sectors. ",,"Apparel and Accessories, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Durables, Consumer Non-Durables, IT Services, Other Business Products and Services, Restaurants, Hotels and Leisure, Semiconductors, Software","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Corporate Venture Capital,[''],"['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'seed round']","['apparel and accessories' 'commercial products' 'commercial services'
 'commercial transportation' 'communications and networking'
 'computer hardware' 'consumer durables' 'consumer non-durables'
 'it services' 'other business products and services' 'restaurants'
 'hotels and leisure' 'semiconductors' 'software']"
Apollo Global Management (NYS: APO),Utsav Baijal,"Founded in 199, Apollo Global Management is a private equity firm based in New York, New York. The firm prefers to invest in private equity, credit, and real estate sectors. The firm focuses on making investments in business services, chemicals, consumer and retail, services, financial services, leisure, manufacturing, and industrial sectors based in the United States, Europe, Asia, the Americas, and the Middle East region. This firm is a Registered Investment Adviser (RIA). ","Asia, Central America, Europe, Middle East, South America, United States","Agriculture, Apparel and Accessories, Capital Markets/Institutions, Chemicals and Gases, Commercial Banks, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Computer Hardware, Consumer Non-Durables, Energy Equipment, Exploration, Production and Refining, Healthcare Services, Insurance, IT Services, Media, Metals, Minerals and Mining, Other Business Products and Services, Other Financial Services, Restaurants, Hotels and Leisure, Retail, Semiconductors, Services (Non-Financial), Software","Buyout/LBO, GP Stakes, PE Growth/Expansion",PE/Buyout,"['asia' 'central america' 'europe' 'middle east' 'south america'
 'united states']",['buyout/lbo' 'gp stakes' 'pe growth/expansion'],"['agriculture' 'apparel and accessories' 'capital markets/institutions'
 'chemicals and gases' 'commercial banks' 'commercial products'
 'commercial services' 'commercial transportation'
 'communications and networking' 'computer hardware'
 'consumer non-durables' 'energy equipment' 'exploration'
 'production and refining' 'healthcare services' 'insurance' 'it services'
 'media' 'metals' 'minerals and mining'
 'other business products and services' 'other financial services'
 'restaurants' 'hotels and leisure' 'retail' 'semiconductors'
 'services (non-financial)' 'software']"
General Atlantic,Gary M. Reiner,"Founded in 198, General Atlantic is a growth/expansion firm headquartered in New York, New York. The firm prefers to invest in business products, business services, consumer products, consumer services, information technology, financial services, healthcare, TMT, and manufacturing sectors in the United States, Europe, Africa, the Middle East, Central America, South America, Mexico, Southeast Asia, India, and Mainland China. This firm is a Registered Investment Adviser (RIA). ","Africa, Central America, China, Europe, India, Mexico, Middle East, South America, Southeast Asia, United States","Apparel and Accessories, Capital Markets/Institutions, Commercial Services, Consumer Durables, Consumer Non-Durables, Healthcare Services, IT Services, Retail, Services (Non-Financial), Software, Transportation","Buyout/LBO, Later Stage VC, Merger/Acquisition, PE Growth/Expansion",Growth/Expansion,"['africa' 'central america' 'china' 'europe' 'india' 'mexico'
 'middle east' 'south america' 'southeast asia' 'united states']",['buyout/lbo' 'later stage vc' 'merger/acquisition' 'pe growth/expansion'],"['apparel and accessories' 'capital markets/institutions'
 'commercial services' 'consumer durables' 'consumer non-durables'
 'healthcare services' 'it services' 'retail' 'services (non-financial)'
 'software' 'transportation']"
Bessemer Venture Partners,Sandy Grippo,"Founded in 1911, Bessemer Venture Partners is a venture capital firm based in Redwood City, California. The firm seeks to invest in companies operating in artificial intelligence &amp; machine learning, biotech, cloud, consumer, cybersecurity, crypto, deep tech, developer, fintech, healthcare, marketplaces, and vertical software sectors. This firm is a Registered Investment Adviser (RIA). ","Africa, Canada, Europe, India, Middle East, North America, Oceania, United States","Commercial Services, Consumer Products and Services (B2C), Healthcare Services, IT Services, Other Financial Services, Other Healthcare, Other Information Technology, Pharmaceuticals and Biotechnology, Software","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,"['africa' 'canada' 'europe' 'india' 'middle east' 'north america'
 'oceania' 'united states']",['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['commercial services' 'consumer products and services (b2c)'
 'healthcare services' 'it services' 'other financial services'
 'other healthcare' 'other information technology'
 'pharmaceuticals and biotechnology' 'software']"
Berkshire Partners,Nii Amaah Koranteng Ofosu-Amaah,"Founded in 1986, Berkshire Partners is a private equity firm based in Boston, Massachusetts. The firm prefers to invest in companies operating in the wireless access, data center &amp; cloud, and network infrastructure, communications and digital infrastructure, consumer, healthcare, services &amp; industrials, and technology sectors based in the North American region. This firm is a Registered Investment Adviser (RIA). ",North America,"Apparel and Accessories, Commercial Services, Communications and Networking, Healthcare, Industrial Supplies and Parts, IT Services, Retail","Add-on, Buyout/LBO, Carveout, GP Stakes, Joint Venture, Management Buyout, PE Growth/Expansion, Privatization, Recapitalization",PE/Buyout,['north america'],"['add-on' 'buyout/lbo' 'carveout' 'gp stakes' 'joint venture'
 'management buyout' 'pe growth/expansion' 'privatization'
 'recapitalization']","['apparel and accessories' 'commercial services'
 'communications and networking' 'healthcare'
 'industrial supplies and parts' 'it services' 'retail']"
Climate Capital,Sundeep Ahuja,"Founded in 218, Climate Capital is a venture capital firm based in San Francisco, California. The firm prefers to invest in adaptation, alt protein, agriculture, carbon &amp; other, energy, web3, and transportation &amp; real estate sectors. ",,"Agriculture, Business/Productivity Software, Commercial Transportation, Energy Equipment, Environmental Services (B2B), Food Products, Other Consumer Products and Services, Other Energy, Other Financial Services, Other Information Technology, Other Materials, Pharmaceuticals and Biotechnology, Real Estate Services (B2C), Retail, Transportation","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['agriculture' 'business/productivity software'
 'commercial transportation' 'energy equipment'
 'environmental services (b2b)' 'food products'
 'other consumer products and services' 'other energy'
 'other financial services' 'other information technology'
 'other materials' 'pharmaceuticals and biotechnology'
 'real estate services (b2c)' 'retail' 'transportation']"
High-Tech Gründerfonds,Tobias Jacob,"Founded in 25, High-Tech Gründerfonds is an early-stage investor based in Bonn, Germany. The firm seeks to invest in B2B, commercial products &amp; services, energy, healthcare, information technology, SaaS, robotics, mobile, life science, artificial intelligence, agriculture technology, augmented reality, clean technology, climate technology, cloud technology, construction technology, cybersecurity, education technology, financial technology, insurance technology, legal technology, oncology, space technology, &amp; virtual reality sectors based in the Germany region. ",Germany,"Accounting, Audit and Tax Services (B2B), Aerospace and Defense, Agriculture, BPO/Outsource Services, Building Products, Chemicals and Gases, Computer Hardware, Construction and Engineering, Education and Training Services (B2B), Electrical Equipment, Energy Equipment, Energy Services, Environmental Services (B2B), Healthcare Services, Healthcare Technology Systems, Industrial Supplies and Parts, Logistics, Machinery (B2B), Other Commercial Products, Other Commercial Services, Pharmaceuticals and Biotechnology, Security Services (B2B), Software","Early Stage VC, Seed Round",VC-Backed Company,['germany'],['early stage vc' 'seed round'],"['accounting' 'audit and tax services (b2b)' 'aerospace and defense'
 'agriculture' 'bpo/outsource services' 'building products'
 'chemicals and gases' 'computer hardware' 'construction and engineering'
 'education and training services (b2b)' 'electrical equipment'
 'energy equipment' 'energy services' 'environmental services (b2b)'
 'healthcare services' 'healthcare technology systems'
 'industrial supplies and parts' 'logistics' 'machinery (b2b)'
 'other commercial products' 'other commercial services'
 'pharmaceuticals and biotechnology' 'security services (b2b)' 'software']"
OKX Ventures,Dora Yue,"Founded in 221, OKX Ventures is the corporate venture capital arm of OKX based in Singapore. The firm seeks to invest in companies operating in the information technology, financial services, cryptocurrency, blockchain &amp; infrastructure, web 3., NFT, metaverse, and financial technology sectors. ",,"IT Services, Other Financial Services, Other Information Technology","Early Stage VC, Later Stage VC, Seed Round",Corporate Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],['it services' 'other financial services' 'other information technology']
Ontario Teachers' Pension Plan,Gillian Brown,"Ontario Teachers' Pension Plan is single-profession pension plan. Teachers' Private Capital is the private equity investment arm of Ontario Teachers' Pension Plan. It seeks to make direct private equity &amp; venture capital investments and commitments to private equity funds. It's asset mix includes equities, debt, commodities and real assets (real estate, infrastructure and timberland). It was formed in 199 and is based in Toronto, Canada. ",,Commercial Transportation,"Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Limited Partner,[''],"['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'seed round']",['commercial transportation']
Genstar Capital,Melissa S. Dickerson,"Founded in 1988, Genstar Capital is a private equity investment firm based in San Francisco, California. The firm seeks to invest in companies operating in financial services, healthcare, industrial, and software sectors based in the North American region. This firm is a Registered Investment Adviser (RIA). ",North America,"Application Software, Automation/Workflow Software, Business/Productivity Software, Capital Markets/Institutions, Commercial Banks, Commercial Services, Commercial Transportation, Communication Software, Consumer Durables, Database Software, Educational Software, Entertainment Software, Financial Software, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Industrial Supplies and Parts, Insurance, Internet Software, Multimedia and Design Software, Network Management Software, Other Commercial Products, Other Financial Services, Other Healthcare, Pharmaceuticals and Biotechnology, Transportation","Buyout/LBO, Carveout, PE Growth/Expansion",PE/Buyout,['north america'],['buyout/lbo' 'carveout' 'pe growth/expansion'],"['application software' 'automation/workflow software'
 'business/productivity software' 'capital markets/institutions'
 'commercial banks' 'commercial services' 'commercial transportation'
 'communication software' 'consumer durables' 'database software'
 'educational software' 'entertainment software' 'financial software'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'industrial supplies and parts'
 'insurance' 'internet software' 'multimedia and design software'
 'network management software' 'other commercial products'
 'other financial services' 'other healthcare'
 'pharmaceuticals and biotechnology' 'transportation']"
Index Ventures,Giuseppe Zocco,"Founded in 1996, Index Ventures is a venture capital firm based in San Francisco, California. The firm seeks to invest in companies operating in artificial intelligence, machine learning, business applications, data, entertainment, fintech, the future of work, healthcare, media, mobility, open source, retail, security, and talent sectors. This firm is a Registered Investment Adviser (RIA). ",,"Healthcare, Media and Information Services (B2B), Movies, Music and Entertainment, Retail, Software","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['healthcare' 'media and information services (b2b)' 'movies'
 'music and entertainment' 'retail' 'software']"
RA Capital Management,Rajeev Shah,"Founded in 24, RA Capital Management is a venture capital firm based in Boston, Massachusetts. The firm invests in early-stage companies. The firm also employs a long/short and sector-oriented hedge fund strategy. The firm prefers to invest in healthcare and life science companies developing drugs, medical devices, services &amp; research tools, and diagnostics sectors based in the United States and Europe. This firm is a Registered Investment Adviser (RIA). ","Europe, United States","Diagnostic Equipment, Other Devices and Supplies, Pharmaceuticals and Biotechnology, Surgical Devices, Therapeutic Devices","Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,['europe' 'united states'],['early stage vc' 'later stage vc' 'pe growth/expansion' 'seed round'],"['diagnostic equipment' 'other devices and supplies'
 'pharmaceuticals and biotechnology' 'surgical devices'
 'therapeutic devices']"
Keiretsu Forum,Nathan McDonald,"Founded in 2, Keiretsu Forum is an angel network based in San Francisco, California. The firm prefers investing investing in companies operating in emerging technologies, healthcare, life sciences, consumer product, and real estate sectors. ",,"Buildings and Property, Communications and Networking, Energy, Healthcare, Other Business Products and Services, Restaurants, Hotels and Leisure, Software","Angel (individual), Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",Venture Capital,[''],"['angel (individual)' 'early stage vc' 'later stage vc'
 'pe growth/expansion' 'seed round']","['buildings and property' 'communications and networking' 'energy'
 'healthcare' 'other business products and services' 'restaurants'
 'hotels and leisure' 'software']"
Everywhere Ventures,Jenny Fielding,"Founded in 217, Everywhere Ventures is a venture capital investment firm based in New York, New York. The firm is a global pre-seed fund backed by 5 founders and operators investing across money, health, and work verticals. ","England, India, Midwest, Mountain, New York Metro, Southern California, Texas","Business Products and Services (B2B), Communications and Networking, Computer Hardware, Financial Services, Healthcare, IT Services, Other Information Technology, Semiconductors, Software","Early Stage VC, Seed Round",Venture Capital,"['england' 'india' 'midwest' 'mountain' 'new york metro'
 'southern california' 'texas']",['early stage vc' 'seed round'],"['business products and services (b2b)' 'communications and networking'
 'computer hardware' 'financial services' 'healthcare' 'it services'
 'other information technology' 'semiconductors' 'software']"
